GRGR_ID,GRGR_NAME,SBSB_ID,SBSB_HIRE_DT,SBSB_EMPLOY_ID,SGSG_ID,SGSG_NAME,SBSB_ORIG_EFF_DT,MEME_ORIG_EFF_DT,MEME_SFX,MEME_FIRST_NAME,MEME_LAST_NAME,MEME_MID_INIT,MEME_SSN,CMC_MEME_MEMBER_MEME_REL,MEME_SEX,MEME_BIRTH_DT,MEMBERSTATUSCODE,MEST_TYPE,MEHD_TYPE,SBRT_SMOKER_IND,SBAD_ADDR1,SBAD_ADDR2,SBAD_ADDR3,SBAD_CITY,SBAD_STATE,SBAD_ZIP,SBAD_PHONE,SBAD_EMAIL,CSCS_ID,MCSPI_ID,DCSPI_ID,VCSPI_ID,CDHCSPI_ID,PDBL_ACCT_CAT,CSPI_ID,CSPD_CAT1,CSPD_CAT2,CSPD_CAT3,CSPD_CAT4,PDBL_ACCT_CAT1,PDBL_ACCT_CAT2,MCSPI_EFF_DT,MCSPI_TERM_DT,DCSPI_EFF_DT,DCSPI_TERM_DT,VCSPI_EFF_DT,VCSPI_TERM_DT,CDH_CSPI_EFF_DT,CDH_CSPI_TERM_DT,EAP_PDBL_EFF_DT,EAP_PDBL_TERM_DT,OT_CSPI_EFF_DT,OT_CSPI_TERM_DT,PRPR_ID,PRPR_NAME,MPCP_PAT_IND,MEPR_EFF_DT,MEPR_TERM_DT,MEME_PRX_CRED_DAYS,MEME_PREX_EFF_DT,MEME_CCC_START_DT_MEME_PRX_CRED_DAYS,MEME_CCC_END_DT_MEME_PRX_CRED_DAYS,SBEM_DEPT,DSBEM_EFF_DT,SBEM_TERM_DT,SBEM_LOC,LSBEM_EFF_DT,CMC_SBEM_EMPLOY,SBEL_MCTR_RSN_MEEL_MCTR_RSN,MEMD_HCFA_EFF_DT,CSPI_ITS_PREFIX,PDDS_MCTR_VAL1,SBEL_FI
910036150,PQR Health Care LLC,9100002193,2020-01-01T00:00:00Z,A101,S001,VBVBV Services - 999,2020-01-01T00:00:00Z,2019-01-01T00:00:00Z,1,Katherine,Richard,J,431-06-4243,M,F,1977-05-25T00:00:00Z,Y,N,T,N,"48764 Howard Forge Apt. 421
Vanessaside, VT 79393",,,West Corey,ID,10166,4062911223,1@vc.com,A001,FSA00001,FSA00001,FSA00001,FSA00001,,FSA00001,Y,N,Y,N,,,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,ABCNCD,,Y,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,0,2005-01-01T00:00:00Z,2,2,100,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,1,2020-01-01T00:00:00Z,0,3100,2018-01-01T00:00:00Z,XMO,1122,Y
910036150,PQR Health Care LLC,9100002661,2020-01-01T00:00:00Z,A102,S002,Sham Mountain of VBVBV - 101,2020-01-01T00:00:00Z,2019-01-02T00:00:00Z,2,Jorge,Grimes,s,825-71-0231,S,M,1920-07-04T00:00:00Z,Y,N,P,N,"PSC 5781, Box 5659
APO AP 27302",,,Ramoshaven,ID,34644,4062911245,2@vc.org,A002,FSA00002,FSA00002,FSA00002,FSA00002,,FSA00002,Y,N,Y,N,,,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,ABCNCD,,Y,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,0,2005-01-02T00:00:00Z,2,2,100,2020-01-01T00:00:00Z,2020-06-29T00:00:00Z,2,2020-01-01T00:00:00Z,0,3100,2018-01-02T00:00:00Z,XMP,1122,N
910036150,PQR Health Care LLC,9100002853,2020-01-03T00:00:00Z,A103,S003,SparklingWater of VBVBV - 102,2020-01-03T00:00:00Z,2019-01-03T00:00:00Z,3,Amber,Olsen,C,819-78-8966,D,F,1987-10-15T00:00:00Z,Y,N,T,N,"60975 Jessica Squares
East Sallybury, IA 19178",,,Davismouth,MT,67077,4062911916,3@vc.com,A003,FSA00003,FSA00003,FSA00003,FSA00003,,FSA00003,Y,N,Y,N,,,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,ABCNCD,,Y,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,0,2005-01-03T00:00:00Z,2,2,100,2020-01-03T00:00:00Z,2020-07-01T00:00:00Z,3,2020-01-03T00:00:00Z,0,3100,2018-01-03T00:00:00Z,XMP,1122,Y
910036150,PQR Health Care LLC,9100002854,2020-01-04T00:00:00Z,A104,S004,Carroum d' Alene of VBVBV - 103,2020-01-04T00:00:00Z,2019-01-04T00:00:00Z,1,Patty,Atkinson,D,604-54-9498,M,F,1945-04-08T00:00:00Z,Y,N,T,N,"Unit 7148 Box 4185
DPO AP 27135",,,Seanfurt,MT,42056,9062115467,4@vc.com,A004,HSA00000,HSA00000,HSA00000,HSA00000,,HSA00000,Y,N,Y,N,,,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,ABCNCD,,N,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,0,2005-01-04T00:00:00Z,2,2,100,2020-01-04T00:00:00Z,2020-07-02T00:00:00Z,4,2020-01-04T00:00:00Z,0,3100,2018-01-04T00:00:00Z,XMP,1122,Y
910036150,PQR Health Care LLC,9100002857,2020-01-05T00:00:00Z,A105,S005,dibby Care Center of VBVBV - 201,2020-01-05T00:00:00Z,2019-01-05T00:00:00Z,1,Cynthia,Montoya,A,548-78-1213,M,F,1911-06-13T00:00:00Z,Y,N,T,N,"32094 Jones Springs Apt. 201
Masseyhaven, KY 68893",,,Port Jason,ID,89561,9062918989,5@vc.com,A005,DMC00000,DMC00000,DMC00000,DMC00000,,DMC00000,Y,N,Y,N,,,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,ABCNCD,,N,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,0,2005-01-05T00:00:00Z,2,2,100,2020-01-05T00:00:00Z,2020-07-03T00:00:00Z,5,2020-01-05T00:00:00Z,0,250,2018-01-05T00:00:00Z,XMP,1122,N
910036150,PQR Health Care LLC,9100002859,2020-01-06T00:00:00Z,A106,S006,Offsspring Health and Rehab of VBVBV - 104,2020-01-06T00:00:00Z,2019-01-06T00:00:00Z,2,Charles,Jones,C,309-45-7145,S,M,1932-05-09T00:00:00Z,Y,N,T,N,"477 Miller Ridge Apt. 795
East Allen, KY 15854",,,West Laura,ID,44087,4062911916,6@vc.org,A006,DMCA0000,DMCA0000,DMCA0000,DMCA0000,,DMCA0000,Y,N,Y,N,,,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,ABCNCD,,N,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,0,2005-01-06T00:00:00Z,2,2,100,2020-01-06T00:00:00Z,2020-07-04T00:00:00Z,6,2020-01-06T00:00:00Z,0,250,2018-01-06T00:00:00Z,XMP,1122,N
910036150,PQR Health Care LLC,9100002861,2020-01-07T00:00:00Z,A107,S007,Senora Rehabilitation of VBVBV (Portland) - 301,2020-01-07T00:00:00Z,2019-01-07T00:00:00Z,3,Alexander,Wade,R,698-53-9325,D,F,1977-01-12T00:00:00Z,Y,N,T,N,"23098 Anthony Roads
New Maria, DE 51777",,,West Marthaville,ID,5270,9062115467,7@vc.com,A007,DPP00000,DPP00000,DPP00000,DPP00000,,DPP00000,Y,N,Y,N,,,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,DGTEHDF,,Y,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,0,2005-01-07T00:00:00Z,2,2,100,2020-01-07T00:00:00Z,2020-07-05T00:00:00Z,7,2020-01-07T00:00:00Z,0,250,2018-01-07T00:00:00Z,XMP,1122,Y
910036150,PQR Health Care LLC,9100002863,2020-01-08T00:00:00Z,A108,S008,Crookfield Health and Rehab of VBVBV - 401,2020-01-08T00:00:00Z,2019-01-08T00:00:00Z,4,Jeffrey,Moore,F,459-49-9309,D,F,1964-03-19T00:00:00Z,Y,N,T,N,"17300 Oliver Village
Chadland, SD 39961",,,Ryanton,ID,66513,2088742338,8@vc.org,A008,DPP00001,DPP00001,DPP00001,DPP00001,,DPP00001,Y,N,Y,N,,,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,DGTEHDF,,Y,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,0,2005-01-08T00:00:00Z,2,2,100,2020-01-08T00:00:00Z,2020-07-06T00:00:00Z,8,2020-01-08T00:00:00Z,0,206,2018-01-08T00:00:00Z,XMP,1122,N
910036150,PQR Health Care LLC,9100002866,2020-01-09T00:00:00Z,A109,S009,Blake Caldwell of VBVBV LLC - 107,2020-01-09T00:00:00Z,2019-01-09T00:00:00Z,1,Richard,Hatfield,E,695-54-5181,M,F,1908-04-10T00:00:00Z,Y,N,T,N,"634 Strong Mountains
Lake Emily, WI 08109",,,Port Fernando,ID,69900,2088742338,9@vc.com,A009,DPP00002,DPP00002,DPP00002,DPP00002,,DPP00002,Y,N,Y,N,,,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,DGTEHDF,,Y,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,0,2005-01-09T00:00:00Z,2,2,100,2020-01-09T00:00:00Z,2020-07-07T00:00:00Z,9,2020-01-09T00:00:00Z,0,250,2018-01-09T00:00:00Z,XMP,1122,Y
910036150,PQR Health Care LLC,9100002868,2020-01-10T00:00:00Z,A110,S010,Grand Canyon West of VBVBV LLC - 105,2020-01-10T00:00:00Z,2019-01-10T00:00:00Z,1,Joshua,Wiggins,F,020-06-0667,M,M,1935-10-25T00:00:00Z,Y,N,T,N,"207 Mccullough Well Suite 564
New Hannah, NH 97700",,,West Joanneside,ID,37316,3609499111,10@vc.com,A010,DPP00006,DPP00006,DPP00006,DPP00006,,DPP00006,Y,N,Y,N,,,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,DGTEHDF,,N,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,0,2005-01-10T00:00:00Z,2,2,100,2020-01-10T00:00:00Z,2020-07-08T00:00:00Z,10,2020-01-10T00:00:00Z,0,3100,2018-01-10T00:00:00Z,XMP,1122,Y
